PPO	SAC	TD3	DDPG
5.005933532919913	-0.7905075214559414	4.831811503522797	3.3008013746205425
4.942198291299787	-1.3115808810384744	4.830398673100916	3.611048300909473
4.928958968524552	0.9056023800349458	4.8221750556622185	3.364554164182183
4.94404052260922	0.8313292416623367	4.781682439893157	3.313768601588539
4.969966051760877	0.8529660432281478	4.778296704135961	3.3488524828818242
4.964869078820499	-1.2980327569437151	4.808848322916529	3.101014141657709
4.919885294132051	0.9049211643137094	4.775766865773802	3.414082497666705
4.944762671301295	0.14452721199659882	4.778629023271142	3.433126549121883
4.977260464806985	-1.0847043180231997	4.732137622208674	3.379237452994662
4.920716314328368	0.8454794362255889	4.786987399390827	3.9163196483210845
