x,y,xdot,ydot
0.870169464,-0.05971494,-0.0106731670269348,-0.1745634775969278
0.870158790832973,-0.0598895034775969,-0.0108106542127859,-0.1741859213787809
0.8701479801787602,-0.0600636893989757,-0.0109485526290925,-0.1738073331892491
0.8701370316261311,-0.0602374967321649,-0.0110870537239074,-0.1734299655084133
0.8701259445724072,-0.0604109266976733,-0.0112258665589633,-0.1730515869755366
0.8701147187058482,-0.0605839782846489,-0.0113650834588132,-0.1726721934498038
0.8701033536223894,-0.0607566504780987,-0.0115046040828746,-0.1722918296644809
0.8700918490183066,-0.0609289423077632,-0.0116443895380634,-0.1719104719377637
0.8700802046287686,-0.0611008527797009,-0.0117844019168024,-0.171528106786901
0.8700684202268517,-0.0612723808864878,-0.011925108591561,-0.1711470336138155
0.8700564951182601,-0.0614435279201016,-0.0120660191786185,-0.1707648140181763
0.8700444290990815,-0.0616142927341198,-0.012207143386339,-0.1703816048851746
0.8700322219556952,-0.061784674339005,-0.0123485596459716,-0.1699972734363542
0.8700198733960492,-0.0619546716124413,-0.0124901835061458,-0.1696120017363026
0.8700073832125431,-0.0621242836141776,-0.012631984401304,-0.169225671348539
0.8699947512281418,-0.0622935092855262,-0.0127744696322355,-0.1688406960710968
0.8699819767585096,-0.0624623499815973,-0.012917132113051,-0.1684546690475805
0.8699690596263966,-0.0626308046506449,-0.0130600699767183,-0.1680675851419526
0.8699559995564199,-0.0627988722357868,-0.0132032036879149,-0.1676796369680042
0.869942796352732,-0.0629665518727548,-0.0133466027324052,-0.1672906755276638
0.8699294497499995,-0.0631338425482825,-0.0134899295956149,-0.1669029643065044
0.8699159598204039,-0.063300745512589,-0.0136335608420893,-0.166514264556184
0.8699023262595619,-0.0634672597771452,-0.0137773602103537,-0.1661246190365301
0.8698885488993515,-0.0636333843961817,-0.0139214600916519,-0.1657340291192635
0.8698746274392599,-0.063799118425301,-0.0140657154224569,-0.1653425254672367
0.8698605617238374,-0.0639644609507682,-0.0142102416528638,-0.1649501046344189
0.8698463514821846,-0.0641294110554027,-0.0143540824420033,-0.16455903480325
0.8698319973997426,-0.0642939700902059,-0.0144982280496881,-0.1641670789878394
0.8698174991716929,-0.0644581371691937,-0.0146425220878103,-0.1637741306170478
0.8698028566496051,-0.0646219112998108,-0.0147871005240787,-0.1633803296113137
0.869788069549081,-0.0647852916294221,-0.0149319772889305,-0.1629855599279447
0.8697731375717921,-0.06494827718935,-0.0150756441847508,-0.1625923167331932
0.8697580619276073,-0.0651108695060832,-0.0152196463513845,-0.1621981172331417
0.8697428422812559,-0.0652730676233164,-0.0153639853892647,-0.1618029877046265
0.8697274782958666,-0.065434870611021,-0.0155084223558541,-0.1614071044967351
0.8697119698735107,-0.0655962777155177,-0.0156531928403786,-0.1610103331755458
0.8696963166806704,-0.0657572880486933,-0.0157980695921699,-0.1606127052217423
0.8696805186110782,-0.065917900753915,-0.0159417560743444,-0.1602165191283062
0.8696645768550039,-0.0660781172730433,-0.0160857969646346,-0.1598194777956994
0.8696484910580392,-0.066237936750839,-0.0162301807114234,-0.1594215957192788
0.8696322608773278,-0.0663973583465583,-0.0163746650958828,-0.1590229073795276
0.869615886212232,-0.0665563812539378,-0.0165194791430949,-0.1586234161447627
0.8695993667330889,-0.0667150046700826,-0.0166629788107423,-0.1582255669754084
0.8695827037542782,-0.066873230237058,-0.0168068558122005,-0.157826873754075
0.869565896898466,-0.0670310571108121,-0.0169508648795466,-0.1574273548610232
0.8695489460335865,-0.0671884844656731,-0.0170952446919586,-0.1570269373949036
0.8695318507888945,-0.067345511403068,-0.0172399813173875,-0.1566257865472963
0.8695146108075771,-0.0675021371896153,-0.0173850523249503,-0.156223911554249
0.8694972257552521,-0.0676583611011695,-0.0175287053721107,-0.1558236846952929
0.86947969704988,-0.0678141847858648,-0.0176725042106311,-0.1554226735366095
0.8694620245456695,-0.0679696074594014,-0.01781670208163,-0.1550207569162716
0.8694442078435878,-0.0681246282163177,-0.0179612552017565,-0.1546181251655493
0.8694262465883861,-0.0682792463414833,-0.0181061918140595,-0.1542146943422828
0.869408140396572,-0.0684334610358256,-0.0182495798491577,-0.1538132486870102
0.8693898908167228,-0.0685872742845126,-0.0183933872849309,-0.153410931086224
0.8693714974294379,-0.0687406852155988,-0.0185375852271321,-0.1530079210796306
0.8693529598442107,-0.0688936931366784,-0.0186821894494462,-0.1526040746810388
0.8693342776547612,-0.0690462972113594,-0.0188271737796531,-0.1521994021534134
0.8693154504809816,-0.0691984966135129,-0.0189725508250393,-0.1517939399163806
0.8692964779301565,-0.0693502905534292,-0.0191162715451278,-0.1513906064370749
0.8692773616586114,-0.0695016811598663,-0.0192604222151498,-0.1509864697514876
0.8692581012363962,-0.0696526676296178,-0.0194050032646032,-0.1505815509416535
0.8692386962331317,-0.0698032491805595,-0.0195499593519766,-0.1501758463670572
0.8692191462737797,-0.0699534250269265,-0.0196953622399027,-0.1497692382387488
0.8691994509115398,-0.0701031942651653,-0.0198390173410752,-0.1493648222227747
0.8691796118941988,-0.070252559087388,-0.0199831161955749,-0.1489596525171778
0.8691596287780032,-0.0704015187399052,-0.0201276733924928,-0.1485535828276592
0.8691395011046107,-0.0705500723227329,-0.0202726405454208,-0.1481467870966619
0.8691192284640653,-0.0706982191098295,-0.0204180190773449,-0.1477392849252177
0.8690988104449879,-0.0708459583947548,-0.0205637939661236,-0.147331088378684
0.8690782466510218,-0.0709932894831334,-0.0207077525668941,-0.1469249762836458
0.8690575388984549,-0.0711402144594171,-0.0208521993267758,-0.1465180163177623
