x,y,xdot,ydot
0.870169464,-0.05971494,-0.0106135605367997,-0.1746018453523408
0.8701588504394632,-0.0598895418453523,-0.0106848368667041,-0.1742734799201932
0.8701481656025964,-0.0600638153252725,-0.010755133739549,-0.1739459372113921
0.8701374104688568,-0.0602377612624839,-0.0109035151104283,-0.1735390476157818
0.8701265069537464,-0.0604113003100997,-0.0110481035754152,-0.1731343271503297
0.8701154588501709,-0.06058443463725,-0.0111709996193536,-0.1727548989588201
0.8701042878505516,-0.0607571895362088,-0.0112622120065224,-0.1724138857699056
0.8700930256385451,-0.0609296034219787,-0.0113387312340046,-0.1720821096512181
0.870081686907311,-0.0611016855316299,-0.0114121009414146,-0.1717508321047419
0.8700702748063696,-0.0612734363637347,-0.0115641838979619,-0.1713405602464341
0.8700587106224716,-0.0614447769239811,-0.0117140926881943,-0.1709330625965756
0.8700469965297835,-0.0616157099865777,-0.0118503194595596,-0.1705501219242826
0.8700351462103239,-0.061786260108502,-0.0119517958339908,-0.1702075258158336
0.8700231944144898,-0.0619564676343178,-0.0120293986493883,-0.1698727507978528
0.8700111650158404,-0.0621263403851157,-0.0121060340714168,-0.1695379328067182
0.869999058981769,-0.0622958783179224,-0.0122612194405252,-0.1691244922235187
0.8699867977623285,-0.0624650028101459,-0.0124145301223559,-0.1687155749341429
0.8699743832322061,-0.0626337183850801,-0.0125525365962522,-0.168339295337244
0.8699618306956098,-0.0628020576804173,-0.0126539816807138,-0.1679952373203768
0.8699491767139291,-0.0629700529177377,-0.0127355436347707,-0.1676570000466535
0.8699364411702943,-0.0631377099177843,-0.0128924434447534,-0.1672407885145742
0.8699235487268496,-0.0633049507062989,-0.0130494462509268,-0.1668247884234987
0.8699104992805987,-0.0634717754947224,-0.0132016387472963,-0.1664190095677996
0.8698972976418514,-0.0636381945042902,-0.0133257765765931,-0.166055447162682
0.8698839718652748,-0.0638042499514529,-0.0134183496604256,-0.1657121360020405
0.8698705535156144,-0.0639699620874549,-0.0135016316030536,-0.165371232014423
0.8698570518840113,-0.0641353333194694,-0.0136611018606749,-0.1649519250042151
0.8698433907821507,-0.0643002852444736,-0.0138200083630036,-0.1645341574506946
0.8698295707737876,-0.0644648194019243,-0.0139718345669989,-0.1641321448165287
0.8698155989392207,-0.0646289515467408,-0.0140885610327905,-0.1637741294534568
0.8698015103781879,-0.0647927256761942,-0.014176896314337,-0.1634301478427772
0.8697873334818735,-0.064956155824037,-0.0142627534387795,-0.1630863296645445
0.8697730707284348,-0.0651192421537016,-0.0144247905719078,-0.1626641304590903
0.8697586459378629,-0.0652819062841607,-0.0145851213369577,-0.1622465878015808
0.8697440608165259,-0.0654441528719622,-0.0147345328398111,-0.1618536746165438
0.869729326283686,-0.0656060065465788,-0.014846533191812,-0.1614995842314452
0.8697144797504942,-0.0657675061308102,-0.0149365689336341,-0.1611529348789332
0.8696995431815606,-0.0659286590656892,-0.0151001027526528,-0.1607282025860247
0.869684443078808,-0.0660893872682752,-0.015263693193576,-0.1603034713130967
0.8696691793856144,-0.0662496907395883,-0.0154211330918516,-0.1598882115881492
0.8696537582525226,-0.0664095789511764,-0.0155569893643031,-0.1595084537695366
0.8696382012631583,-0.066569087404946,-0.0156565821450522,-0.1591561720834606
0.8696225446810132,-0.0667282435770294,-0.0157477290485931,-0.1588072754679159
0.8696067969519646,-0.0668870508524974,-0.0159133885040608,-0.158379739052145
0.8695908835634606,-0.0670454305915495,-0.0160783225899243,-0.1579532277315294
0.8695748052408707,-0.067203383819281,-0.0162331548140947,-0.1575434368244253
0.8695585720860566,-0.0673609272561054,-0.0163549537429084,-0.1571739460008019
0.8695422171323137,-0.0675181012021062,-0.0164528052963305,-0.1568211565475914
0.8695257643270173,-0.0676749223586538,-0.0165464180572504,-0.1564697387289937
0.8695092179089601,-0.0678313920973828,-0.0167141289011933,-0.1560396885487952
0.8694925037800589,-0.0679874317859316,-0.016880198063536,-0.1556130075035731
0.8694756235819954,-0.0681430447934352,-0.0170332478271208,-0.1552102326498967
0.8694585903341683,-0.0682982550260851,-0.0171505454100852,-0.1548462990839001
0.8694414397887582,-0.068453101325169,-0.0172494947245742,-0.1544920538094711
0.8694241902940336,-0.0686075933789785,-0.0174185205424424,-0.1540597047619896
0.8694067717734911,-0.0687616530837405,-0.017587180769594,-0.1536275224436138
0.8693891845927215,-0.0689152806061841,-0.017748422229596,-0.153204610935445
0.869371436170492,-0.0690684852171195,-0.017880367687639,-0.152819161996651
0.8693535558028043,-0.0692213043791162,-0.0179852163570185,-0.1524587955740773
0.8693355705864473,-0.0693737631746903,-0.0180832186714341,-0.1521026097597902
0.8693174873677758,-0.06952586578445,-0.0182539525701036,-0.151667840604167
0.8692992334152057,-0.0696775336250542,-0.0184233035908082,-0.15123465653939
0.8692808101116148,-0.0698287682815936,-0.0185799261946668,-0.1508186479966983
0.8692622301854201,-0.0699795869295903,-0.0187035712754628,-0.1504421230978539
0.8692435266141447,-0.0701300290526881,-0.0188077445910534,-0.1500816732550282
0.8692247188695537,-0.0702801107259432,-0.018979592964496,-0.1496448046805649
0.8692057392765892,-0.0704297555306237,-0.0191516873778807,-0.1492076277935181
0.8691865875892113,-0.0705789631584173,-0.0193185874904163,-0.1487755027414994
0.8691672690017209,-0.0707277386611588,-0.0194641201711481,-0.1483704669776769
0.8691478048815497,-0.0708761091281364,-0.0195784697908385,-0.1479984864780709
0.8691282264117589,-0.0710241076146145,-0.0196787318584836,-0.1476369056093006
0.8691085476799004,-0.0711717445202238,-0.0198521402256932,-0.1471978022237153
