PPO	SAC	TD3	DDPG
2.5340824884637776	1.223023822385804	3.413632552106068	0.9335383720607381
2.5388029230742584	1.2514351413817515	3.4217129289809174	1.1998775907399695
2.444250369084797	1.2704628834240852	3.4278851124140517	-0.6250890160884319
2.4420629276264654	1.291387112624881	3.4347923907531634	1.2154522207893097
2.5854400323714968	1.228268390658099	3.4157091690748387	-0.7342034396519456
2.5608816691235745	1.170268296423626	3.4198570220486735	-1.0204543475497334
2.4398472892970378	1.2035696472459847	3.4397978754198832	1.0945870502469444
2.478254070316381	1.2616919689452204	3.4093359290163514	-0.4062634282792659
2.537845047178152	1.1638071675062998	3.390614603206467	-0.3269132852220897
2.5135545583276127	1.2148987836294531	3.422544876146684	-1.3305317170454956
