PPO	SAC	TD3	DDPG
2.6187035996353676	1.2876600743622773	3.616869400962181	0.8347874728948136
2.632780778023334	1.325532431075814	3.6017845951052707	-0.9216557988516844
2.5679050940517145	1.2637364667750288	3.6211775808476707	-1.1447592043969042
2.4605696651244364	1.227089407796296	3.6504338338680355	-0.8135915106286044
2.6590538826811234	1.4294253351664121	3.5964415340074667	1.1852601795981916
2.6337028549398056	1.3412350796765629	3.606778191791534	-0.591294821503723
2.5049528886576633	1.319800266763633	3.6213849554260227	-0.4238975065832571
2.543313964134847	1.2320934426874408	3.626714446475824	-0.633146650461087
2.558336623171279	1.227718346889954	3.609947962541788	1.2389565195249854
2.7142826035145213	1.3321648561135189	3.6202590091879836	1.269341320407269
