PPO	SAC	TD3	DDPG
56.921754318124485	30.023425646883098	82.10610635096175	0.0811635101473841
54.74985907470008	29.114483396533778	82.12047051468117	-0.0017637593778161717
55.08427125257736	30.162453010280423	82.11304365703364	0.2059630769168233
54.71592488168297	30.129539283644863	82.14678796458648	-0.17821706419439637
56.22472963115324	27.856423410208066	82.15722251409909	0.37728285688145385
55.571110165685575	29.459813461171194	82.11336639393954	0.041278624602951744
55.58874156515566	30.386203077484083	82.09233648342654	0.1608484385372952
53.13878930975445	29.589232939523782	82.09163009815171	-0.47468389523127213
55.134647406179596	30.148507256804397	82.16735866824857	-0.32852854024564604
55.15828464050337	29.268790539887316	82.0611755733855	0.11665675196319074
