PPO	SAC	TD3	DDPG
1.8044252117628883	0.9491674876995829	2.0847950390972194	-0.11144969217897029
1.8054632579232555	1.1131623925990732	2.091344296252086	0.03567619908566948
1.7641335077074307	1.0829198010067966	2.0953139668418586	0.24484981251040216
1.818368696752428	0.8989457097020036	2.0907873553881964	1.066848174955211
1.8043982220560848	1.0431002763518862	2.193352341725268	-1.9730394639530315
1.783910703559562	0.9834027370900825	2.084503789862455	0.07899992281095834
1.7957632102379306	1.0544899160755739	2.2890330419302017	1.0981324362270972
1.8277604248825758	0.9414317427699819	2.095625771379736	-1.2167771890676427
1.7777647004327217	1.0320249621201119	2.0867296353339797	-0.2827924078943787
1.8241529156556708	1.0069592817253075	2.0937370876251244	1.0595522075046842
