Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
26	-90.48728	23.194445	-53.333202	-117.07322	1000.0	-8.655227	0.00041257907	-8.653607	-8.656242	108000	1.7762185e-08	42.426517	-0.0012784881	-0.9764633	1.0383263	0.0021388717	0.01625	79.0	62.93845772743225
27	-53.916313	11.78664	-37.299084	-70.37022	1000.0	-8.132561	0.00027131446	-8.131727	-8.133448	112000	4.130602e-08	23.00994	-0.0013771203	-7.108124	1.0567589	0.0019811378	0.0105	79.0	64.95626497268677
28	-88.53144	59.619244	-21.170424	-183.06393	1000.0	-6.729109	0.00030461265	-6.7274957	-6.729957	116000	-1.013279e-08	68.21934	-0.00094483595	0.0054016113	1.0553446	0.0010517377	0.007	79.0	66.95496392250061
29	-46.274284	19.418339	-20.374846	-74.55455	1000.0	-6.6403866	0.00028041823	-6.638462	-6.640894	120000	-2.6226044e-09	19.442165	-0.0035600045	-4.395941	1.039334	0.005075575	0.025	79.0	68.95157074928284
30	-23.680246	10.376057	-11.436805	-39.65913	1000.0	-5.5051565	0.00026275642	-5.5038967	-5.5056334	124000	2.6464463e-08	15.709937	-0.0035753362	-8.69264	1.0513088	0.0040517054	0.03825	79.0	70.98278880119324
31	-34.547184	12.769652	-14.082421	-45.52307	1000.0	-3.8314862	0.00019400998	-3.8306184	-3.832091	128000	1.0490417e-08	13.303562	-0.0037250519	-2.4170895	1.0795946	0.002959815	0.0265	79.0	72.9930579662323
32	-48.81826	24.783945	-8.236231	-75.04388	1000.0	-2.8963218	0.00015857202	-2.8949995	-2.8967545	132000	1.6093255e-08	27.160128	-0.0017762895	-0.04764366	1.1203107	0.0001936736	0.004	79.0	75.0333366394043
33	-59.177208	41.211113	-18.835808	-123.68634	1000.0	-2.740786	0.00014442315	-2.7400932	-2.7414694	136000	7.867813e-09	52.875526	-0.004441219	-0.11487579	1.104144	0.0020388442	0.01725	79.0	77.01997995376587
34	-51.743656	42.800354	-18.355658	-123.78143	1000.0	-2.9381616	0.00015435375	-2.93759	-2.9387872	140000	-3.5762786e-09	47.45057	-0.0023305845	-0.05934143	1.1363593	0.0026551136	0.01725	79.0	79.02014994621277
35	-47.87526	24.594572	-25.900541	-88.061775	1000.0	-3.0915976	0.00021490561	-3.0905316	-3.0920577	144000	-4.053116e-09	21.511526	-0.0032391597	-0.0042362213	1.1353896	0.004782913	0.03675	79.0	81.01511073112488
