x,y,u,v
0.870169464,-0.05971494,3.9446537,4.0
0.870115740547615,-0.0605835386690988,3.9942513,3.983992
0.8700602366397933,-0.0614427223974548,3.9995058,-3.9981058
0.8699907732291827,-0.0624628056046491,3.999029,-3.996826
0.8699299369516286,-0.0633035927509153,3.999289,-3.9944992
0.8698532025794772,-0.0643009616295425,3.9980724,-3.8771596
0.8697859738424042,-0.0651224297723985,3.9719965,3.9999928
0.8697011595629501,-0.0660960460774317,3.9665375,3.9999955
0.8696269100140158,-0.0668971372068158,-4.0,-3.9995897
0.8695332067631791,-0.0678461693820801,3.966916,3.999999
0.8694516560288158,-0.0686262980301615,-3.9999998,-3.999997
0.8693493558155718,-0.0695498637209366,-4.0,-4.0
0.8692603165404699,-0.070309000127351,-4.0,-3.9999866
0.86914865775574,-0.0712072152526862,-3.9999979,-3.999764
0.8690516030806216,-0.0719448278781956,-3.9812436,-3.9998229
0.8689303875866714,-0.0728167629270489,-3.9982371,-3.99954
0.8688253902278769,-0.0735325414195405,-0.060413536,-0.88298726
0.8686946032164929,-0.0743783443450961,-0.37398934,-1.3889714
0.868581497117587,-0.0750722927780945,3.9163306,3.9999971
0.8684647689555972,-0.0757559193334685,3.9752185,3.9999962
0.8683200937034795,-0.07656271330565,-4.0,-4.0
0.868195373508205,-0.0772241267175082,-4.0,-3.9999075
0.8680403854691205,-0.0780044252701236,-3.9999886,3.9998229
0.8679069294257851,-0.0786427228612123,-3.9678788,-3.9944365
0.8677425398784967,-0.0793949786854162,-4.0,-3.9939206
0.8676012970442754,-0.0800105925147836,-3.854692,-3.99755
0.8674270847026945,-0.0807355829112313,-3.9997282,3.8843563
0.8672777487532843,-0.0813281244129207,3.6759374,3.9999988
0.867093766670289,-0.0820247740162942,2.6565797,3.999998
0.866936446160628,-0.0825933768406327,-4.0,3.9765084
0.866742745032028,-0.0832613277491129,3.651172,3.9856184
0.8665773487173601,-0.0838061679995448,-4.0,3.9999988
0.8663738508984495,-0.0844453330499201,3.9139879,3.8295922
0.8662003926995063,-0.0849658363568582,3.9968994,-3.9999154
0.8659874871482823,-0.085576366726242,3.979471,-3.999741
0.865806035208568,-0.0860734550333233,3.9933352,-3.9986484
0.8655837255328588,-0.0866558260260374,2.7213626,-4.0
0.8653946230763463,-0.0871297117084535,3.9690514,-3.9999993
0.865201873561479,-0.0875929529603188,3.969437,-3.9999943
0.8649660856049401,-0.0881349764164107,3.9083884,-3.9965887
0.8647656843634896,-0.0885748600056648,2.7729976,-3.9632251
0.864520521709739,-0.0890889077703542,-0.9181673,-2.6512384
0.864312330482042,-0.0895057766618619,1.5624126,-2.103349
0.8640580021377633,-0.0899923048038973,3.9999373,-4.0
0.8638419260423247,-0.0903858330536326,3.9999862,-4.0
0.8635777920545282,-0.0908437353759402,3.9999876,-4.0
0.8633543152563008,-0.0912137760095571,3.998874,-4.0
0.863082095618715,-0.0916442895411995,3.981364,-3.9764802
0.8628517599266177,-0.0919916211356567,-3.9896479,-2.9242148
0.8625708965655612,-0.092394683889232,3.7648377,-2.9317508
0.8623334325265878,-0.0927189240243787,3.7058587,-3.002879
0.8620445427903939,-0.0930941468497361,3.7928674,-4.0
0.8618004302389753,-0.0933950693593967,3.4817226,-3.9999702
0.8615035541745065,-0.0937425687505636,2.5397074,-2.7884724
0.8612528267156896,-0.0940205314221335,3.037809,-2.9972448
0.8609479401074858,-0.09434000370453,-0.70804,-1.694386
0.8606906425121609,-0.0945946492067899,0.9477946,-1.3349124
0.8604303926405392,-0.0948386900840485,1.5908245,-3.751273
0.8601143397849677,-0.0951179724890774,-1.2153013,-0.5879811
0.8598477687124777,-0.0953392525960356,-1.1833265,0.77106667
0.8595240760284113,-0.0955907297965976,0.36684707,-3.2018492
0.8592513057100389,-0.0957886770130082,-1.1032858,-0.27981755
0.8589201828153493,-0.096012461724295,0.10452084,-3.9999986
0.8586413424538447,-0.096187359518313,3.6815434,-4.0
0.8583031952483001,-0.0963834001723839,3.662073,-4.0
0.8580185417054,-0.0965355769378103,-0.07710551,3.9999993
0.8576736235154618,-0.0967044943212462,-0.97665566,-1.9136105
0.8573834758379512,-0.0968338251149582,-3.4118254,-4.0
0.8570321151213404,-0.0969757120796408,-3.930206,4.0
0.8567367509052062,-0.0970825440816829,-3.058942,-3.9995825
0.8563793072766398,-0.0971972134794402,3.996852,-3.9999995
0.856079052892343,-0.0972816097889573,3.999939,-3.9989529
0.8557158550234014,-0.0973691132548789,-1.0384823,-3.3718128
0.8554110366073867,-0.0974306781623673,3.9935348,-3.9999695
0.8550429626048208,-0.0974911222869866,-3.1467345,-3.9988072
0.8547342530307228,-0.0975301919757032,2.9083629,-3.996033
0.8544240574534505,-0.0975592905990058,3.9994798,-3.8545506
0.854050000883179,-0.097580899714495,3.999746,-3.9995744
0.8537370350054564,-0.0975878970396437,3.9995522,-3.999995
0.8533600096325156,-0.0975832039161222,3.9931288,-3.999997
0.8530446195982179,-0.0975684014051,1.4162159,-3.963047
0.8526647206233046,-0.0975375895078254,3.9915965,-4.0
0.8523470776703931,-0.0975010599218315,3.7015097,-4.0
0.8519641784000579,-0.0974442252944987,-3.8704486,-3.9999669
0.8516432025573081,-0.0973860435542677,-1.2847953,-3.999356
0.8512558799733223,-0.0973031338408103,-0.991865,-2.740477
0.8509313688809126,-0.0972226847583021,-2.4761693,-3.9984863
0.8505400436704958,-0.0971123087896008,2.261595,-3.7303703
0.8502124502468427,-0.0970088593407301,3.7131052,3.2124267
0.8498177282034914,-0.09687087298806,3.9999876,-3.5855021
0.8494874765267714,-0.0967444443879963,-1.923414,-1.3994408
0.8490896605037234,-0.096578945543712,-3.5125456,2.7634165
0.8487569954624653,-0.0964296233994088,4.0,-4.0
0.8483565712867361,-0.0962368684073317,3.9999964,-4.0
0.8480218636779117,-0.09606488164987,3.9702313,-3.999314
0.8476862337602356,-0.0958827373295899,4.0,-4.0
0.8472822591788376,-0.0956506300842773,-3.4116642,0.22404847
0.846944666574476,-0.0954459557565492,3.9999855,-4.0
0.846538696451466,-0.0951871458594818,-3.999926,1.0099524
0.8461994141128757,-0.0949604706623532,-3.9532971,-4.0
0.8457908738400941,-0.0946755456462717,-3.4725628,3.480181
0.84544960675794,-0.0944267742686746,3.6335642,2.9488297
0.8450396637690918,-0.0941147280774524,-3.5535903,-3.998296
0.844697172057645,-0.0938438137854745,-2.7194793,3.0113552
0.8442854957280358,-0.0935055104010344,-0.66942155,-4.0
0.8439419237122838,-0.0932128191698597,-3.2824721,1.6968081
0.8435288569148798,-0.0928486020682379,2.7291174,-4.0
0.8431843686849368,-0.0925341709013854,-3.555016,-2.3457775
0.842770567871507,-0.0921437778459225,-3.9743805,-4.0
0.8424254584828069,-0.0918076425791925,3.9861805,-3.9999955
0.8420112909124929,-0.0913911628891213,-2.368607,0.73792666
0.841666077664036,-0.0910332803764142,-0.921773,1.1402782
0.841252000944179,-0.0905906767874079,-2.5136054,-3.9983082
0.8409071643789886,-0.0902109378825038,-3.4627438,-1.131465
0.8405625211905199,-0.0898213378930416,-3.3313894,-4.0
0.8401493670618673,-0.0893408195664641,0.4290218,1.1412524
0.839805534820756,-0.0889295248336755,-3.805515,-3.9985929
0.8393935103652826,-0.0884231635660667,-3.984824,-4.0
0.8390507890852134,-0.0879904320605671,-3.9604921,2.6039562
0.8386404126763053,-0.0874580701867099,3.9973943,-2.2578285
0.8382992142046226,-0.0870038342756502,-1.4404806,1.5489787
0.8378907008724108,-0.0864460917393008,-3.043761,2.4226303
0.8375513272613606,-0.0859704890251037,2.7442076,-3.9532921
0.8371453504511419,-0.0853871420855033,-3.8481104,-4.0
0.8368079938911396,-0.0848907298253707,3.9857142,-3.0913317
0.8364045068923263,-0.0842827170972483,3.9940388,-1.5030863
0.83606938748467,-0.0837658349290846,3.154116,1.5939504
0.8356687706419395,-0.0831332857912114,-3.8835022,-3.7916884
0.8353363088832914,-0.0825958567278482,-2.465811,-3.9885137
0.8349390772017983,-0.0819388574834046,-2.1677527,0.5775304
0.834609530071621,-0.0813812259614937,3.367678,-2.435803
0.8342160438444023,-0.0807000834728635,3.9998555,-2.841569
0.8338898500572949,-0.08012243369712,-3.8926005,3.5008347
0.833565096473724,-0.0795358338989318,-3.9995716,-3.9999998
0.8331774622711426,-0.0788203215032535,3.9999912,2.853889
0.8328563406809915,-0.0782141624300286,-3.9933803,-4.0
0.8324734869557961,-0.0774749884634228,-3.9999363,-4.0
0.8321565322671743,-0.0768494370728703,-3.999763,-3.3080878
0.8317782274699644,-0.0760875072435103,3.8704174,-3.330143
0.8314651631865054,-0.0754430367971184,3.5145032,-3.5081303
0.8310920039422546,-0.07465851686432,3.999541,2.3268523
0.8307837281644423,-0.073994962784667,2.8094442,-2.4059706
0.8304163196085985,-0.0731880224998448,3.99896,3.876307
0.830112477038478,-0.0725062863742316,3.995502,3.9058335
0.8297506715739028,-0.071677307472206,-4.0,-3.9997203
0.8294510103871376,-0.0709772905688234,3.9991481,3.354633
0.8290944935032541,-0.0701261556836813,-3.9999998,-4.0
0.828799774631647,-0.0694078012328348,-3.9999921,-4.0
0.8284490858472576,-0.0685351275763427,-4.0,4.0
0.8281591091192946,-0.0677988477990869,-3.9999998,3.9317005
0.8278141220134722,-0.0669042207917898,-2.8064868,4.0
0.827529296604244,-0.0661497587671145,3.0352728,4.0
0.8272474873813843,-0.0653871140926504,-2.9086838,-3.2078674
0.8269131468012434,-0.0644619583374927,3.7177784,3.999995
0.8266378094103799,-0.0636826810361421,3.690227,4.0
0.8263116367430737,-0.0627375300711826,3.9939463,3.9999013
0.8260433405554913,-0.0619418629569722,3.9822462,3.9999113
