x,y,u,v
0.870169464,-0.05971494,-1.9916447,-0.40258127
0.8701148541750047,-0.0605841954610424,-1.7573106,-0.545531
0.8700450743334944,-0.06161527725343,-1.5558978,-0.5673865
0.869983362135673,-0.0624644054664639,-1.3507973,-0.6961128
0.869905009391459,-0.0634711440827435,-1.240861,-0.6636287
0.8698361091172593,-0.0642998471975148,-1.0895863,-0.7874527
0.8697490569954185,-0.0652818913736817,-1.0161345,-0.73709804
0.8696728354559174,-0.0660898527630349,-0.90055925,-0.82789266
0.869576919566377,-0.0670468439393082,-0.8510228,-0.78501946
0.8694932378967741,-0.0678337854228063,-0.74104947,-0.88256633
0.8693882652101456,-0.0687653518017139,-0.71318525,-0.855671
0.8692969551490594,-0.069530953494606,-0.62856406,-0.9471915
0.8691827513777781,-0.0704367779852176,-0.621699,-0.86440116
0.8690836846183683,-0.0711808134782606,-0.97909516,-0.10609076
0.868960076370553,-0.0720605782034979,-0.96550155,-0.05068854
0.8688530979872141,-0.0727827571312268,-0.89444286,-0.15933509
0.8687199372802294,-0.0736361845481646,-0.8991371,-0.097582
0.8686049502209088,-0.0743363257244244,-0.8491003,-0.19994979
0.868462103464385,-0.0751631570833687,-0.84911156,-0.13316374
0.8683389869211688,-0.0758410110348583,-0.7762006,-0.27409196
0.8681863435318491,-0.0766410007541961,-0.7968234,-0.18882824
0.86805503329688,-0.0772964135077181,-0.73474187,-0.30582586
0.8678925081403912,-0.0780693514479991,-0.7326261,-0.26980457
0.8677245566622777,-0.0788274305300208,-0.72553396,-0.23421119
0.8675804374985545,-0.0794477617453144,-0.65545195,-0.38755178
0.8674024922227744,-0.0801784304832893,-0.6457607,-0.35112518
0.86725002719235,-0.0807758344438037,-0.55599374,-0.49280733
0.8670620622319604,-0.0814789075275635,-0.5777035,-0.45323622
0.8669012573210154,-0.0820532746060506,-0.48960707,-0.5762622
0.866703287647367,-0.0827286340451183,-0.5069017,-0.5345517
0.8665341413703096,-0.0832798257441552,-0.4187595,-0.6852987
0.866326162380437,-0.0839272806698324,-0.40859666,-0.6608738
0.8661486855009498,-0.0844551523386626,-0.8225229,0.11634753
0.8659307245785042,-0.0850745390172873,-0.80504376,0.12653096
0.8657449479735684,-0.08557895556967,-0.7423639,0.012468655
0.8655170593983997,-0.0861701309805057,-0.7360547,0.021071343
0.8653230363973229,-0.0866509798342131,-0.66152745,-0.11969596
0.8650852932762695,-0.0872138139517567,-0.6596482,-0.11481255
0.8648830947125111,-0.0876709945307074,-0.5776923,-0.2661687
0.8646356049185026,-0.08820539764005,-0.58632237,-0.2236084
0.8644253458971,-0.0886388748359922,-0.5172049,-0.35788253
0.8641682428128168,-0.0891447893915602,-0.5188907,-0.32623827
0.8639500174666129,-0.0895544746031353,-0.44258448,-0.47575867
0.8636834097284177,-0.0900317716316005,-0.40568653,-0.49212202
0.8634116560295721,-0.090493372611335,-0.38248566,-0.50520456
0.8631813045275882,-0.0908660414681273,-0.30854487,-0.6522894
0.8629002786852376,-0.0912988685594903,-0.3141625,-0.6298247
0.8626622878537908,-0.0916475642338316,-0.72919554,0.14746146
0.8623721717295183,-0.0920515747929276,-0.7248837,0.15969072
0.862126675185349,-0.0923762197961111,-0.6594707,0.030493546
0.8618276316912051,-0.0927513033209549,-0.6373504,0.0074635306
0.8615747614405463,-0.0930517785635315,-0.54641414,-0.15995045
0.8612669772322032,-0.0933978335992473,-0.5204844,-0.16837148
0.8610069186672352,-0.0936741061664199,-0.43210053,-0.33804205
0.8606906243216886,-0.0939911013335913,-0.4192583,-0.34047532
0.8604235720871175,-0.0942431469043663,-0.33108056,-0.5141462
0.8600990024667516,-0.0945310527265574,-0.7510122,0.35338625
0.8598251383876314,-0.0947588095025866,-0.67840785,0.19451873
0.859492503159939,-0.0950175206565237,-0.6566431,0.1709247
0.8592120307998579,-0.0952209490709064,-0.5821719,0.010898907
0.8588716041413922,-0.0954504705150117,-0.57237494,-0.004837705
0.8585847442892192,-0.0956295576656793,-0.46462786,-0.19544052
0.8582367822298873,-0.0958298483186999,-0.4530031,-0.191937
0.8579437682707958,-0.0959845927029436,-0.34913367,-0.38212088
0.85758855590122,-0.0961556590729907,-0.3391383,-0.4110069
0.8572295065456891,-0.0963107779426849,-0.32882783,-0.4346743
0.8569274346745702,-0.0964278719205071,-0.6528892,0.27226028
0.8565615859921905,-0.0965537750397954,-0.64943445,0.25364164
0.8562539739806844,-0.0966465297792134,-0.5850363,0.11797198
0.8558816318599344,-0.0967432431062658,-0.5786561,0.10780044
0.8555687360167199,-0.0968116822724273,-0.5134749,-0.03363507
0.8551902107248578,-0.0968792340642028,-0.5095004,-0.043692358
0.8548722935344913,-0.0969233840587309,-0.44168356,-0.18640961
0.8544879023815565,-0.0969618063847324,-0.44173077,-0.19420929
0.8541652301077833,-0.0969816980784063,-0.36238497,-0.33734617
0.8537753018463988,-0.0969910455048268,-0.38078633,-0.30839857
0.8534481621115863,-0.0969867489557359,-0.29736513,-0.46482885
0.8530530281272741,-0.0969670758506739,-0.3193429,-0.44139507
0.852721691505507,-0.096938622089488,-0.2476455,-0.5681171
0.8523217003018588,-0.0968900130461744,-0.25436103,-0.55210143
0.8519864538494429,-0.0968374642798795,-0.5681285,0.12490871
0.8515819357153458,-0.0967599590872121,-0.22543083,-0.6474651
0.8512430714675077,-0.0966833843761974,-0.53721446,0.041446608
0.8508343948526207,-0.0965771092239489,-0.19965628,-0.70469433
0.8504922167107649,-0.0964766075644091,-0.17972216,-0.7795063
0.8500797604534022,-0.0963417184488177,-0.2124901,-0.71797776
0.849665385920268,-0.0961912549163639,-0.2529693,-0.63602287
0.8493186890555997,-0.0960540036149115,-0.5321801,0.02793981
0.8489010577127034,-0.0958750273932104,-0.22095548,-0.69400007
0.848551789337773,-0.0957140380077503,-0.50105274,-0.027981436
0.8481312604777665,-0.0955066442598212,-0.20284514,-0.72370285
0.8477797338513798,-0.0953220287075314,-0.18517375,-0.7883674
