timestamp,topic,value
2025-07-14 13:17:38.367,position_y,0.012198
2025-07-14 13:17:38.368,velocity_x,-0.273784
2025-07-14 13:17:38.369,velocity_y,0.229121
2025-07-14 13:17:38.370,control_force_x,-3.142922
2025-07-14 13:17:38.371,control_force_y,1.816808
2025-07-14 13:17:38.377,position_x,-0.002994
2025-07-14 13:17:38.377,position_y,-0.030499
2025-07-14 13:17:38.379,velocity_x,-0.374586
2025-07-14 13:17:38.379,velocity_y,0.395522
2025-07-14 13:17:38.380,control_force_x,-3.163774
2025-07-14 13:17:38.381,control_force_y,1.782073
2025-07-14 13:17:38.387,position_x,-0.001497
2025-07-14 13:17:38.387,position_y,0.019337
2025-07-14 13:17:38.388,velocity_x,-0.406787
2025-07-14 13:17:38.389,velocity_y,0.356233
2025-07-14 13:17:38.390,control_force_x,-3.096374
2025-07-14 13:17:38.391,control_force_y,1.780373
2025-07-14 13:17:38.397,position_x,-0.001322
2025-07-14 13:17:38.398,position_y,-0.022279
2025-07-14 13:17:38.399,velocity_x,-0.506172
2025-07-14 13:17:38.400,velocity_y,0.511979
2025-07-14 13:17:38.401,control_force_x,-3.116153
2025-07-14 13:17:38.402,control_force_y,1.741030
2025-07-14 13:17:38.407,position_x,-0.002475
2025-07-14 13:17:38.407,position_y,0.026665
2025-07-14 13:17:38.409,velocity_x,-0.533390
2025-07-14 13:17:38.410,velocity_y,0.471690
2025-07-14 13:17:38.410,control_force_x,-3.031223
2025-07-14 13:17:38.411,control_force_y,1.715371
2025-07-14 13:17:38.417,position_x,-0.004958
2025-07-14 13:17:38.418,position_y,-0.013818
2025-07-14 13:17:38.419,velocity_x,-0.622654
2025-07-14 13:17:38.420,velocity_y,0.632514
2025-07-14 13:17:38.420,control_force_x,-2.658699
2025-07-14 13:17:38.421,control_force_y,1.523586
2025-07-14 13:17:38.427,position_x,0.001246
2025-07-14 13:17:38.428,position_y,0.035273
2025-07-14 13:17:38.429,velocity_x,-0.633336
2025-07-14 13:17:38.430,velocity_y,0.573666
2025-07-14 13:17:38.430,control_force_x,-2.150222
2025-07-14 13:17:38.431,control_force_y,1.248785
2025-07-14 13:17:38.437,position_x,-0.003833
2025-07-14 13:17:38.438,position_y,-0.005071
2025-07-14 13:17:38.438,velocity_x,-0.692667
2025-07-14 13:17:38.439,velocity_y,0.717140
2025-07-14 13:17:38.440,control_force_x,-1.580693
2025-07-14 13:17:38.441,control_force_y,0.915353
2025-07-14 13:17:38.446,position_x,-0.004575
2025-07-14 13:17:38.447,position_y,0.027339
2025-07-14 13:17:38.448,velocity_x,-0.684523
2025-07-14 13:17:38.449,velocity_y,0.677647
2025-07-14 13:17:38.450,control_force_x,-1.780661
2025-07-14 13:17:38.451,control_force_y,0.978578
