episode,timestep,reward
8,800,-94.182
12,1600,-94.0225
12,2400,0.0
17,3200,-80.1568
25,4000,-97.1494
34,4800,-102.1293
41,5600,-94.3127
48,6400,-97.1231
57,7200,-94.264
65,8000,-97.4531
67,8800,-106.3911
67,9600,0.0
75,10400,-91.8291
83,11200,-94.7522
92,12000,-102.4797
96,12800,-107.6319
99,13600,-93.6219
99,14400,0.0
106,15200,-83.8104
114,16000,-97.1638
121,16800,-97.2557
121,17600,0.0
123,18400,-52.8964
130,19200,-105.0274
136,20000,-97.7549
144,20800,-103.4134
149,21600,-98.7126
149,22400,0.0
151,23200,-57.3059
151,24000,0.0
154,24800,-72.6847
162,25600,-97.1631
162,26400,0.0
164,27200,-58.2856
165,28000,-119.3761
165,28800,0.0
166,29600,-22.262
167,30400,-14.7263
172,31200,-94.8494
172,32000,0.0
176,32800,-81.7665
180,33600,-105.8101
180,34400,0.0
184,35200,-77.3135
184,36000,0.0
185,36800,-21.1079
185,37600,0.0
188,38400,-69.6468
192,39200,-93.6431
192,40000,0.0
197,40800,-88.9025
198,41600,-93.6198
199,42400,-21.477
203,43200,-95.6516
203,44000,0.0
206,44800,-71.24
206,45600,0.0
207,46400,-22.8834
207,47200,0.0
208,48000,-20.1902
208,48800,0.0
209,49600,-20.1171
209,50400,0.0
210,51200,-20.5664
211,52000,-10.6016
212,52800,-92.8331
212,53600,0.0
218,54400,-89.6177
218,55200,0.0
219,56000,-20.2929
219,56800,0.0
222,57600,-69.5456
225,58400,-109.5112
225,59200,0.0
230,60000,-88.472
230,60800,0.0
233,61600,-69.7597
235,62400,-93.0728
235,63200,0.0
236,64000,-18.8898
237,64800,-20.0305
238,65600,-94.2482
239,66400,-22.445
245,67200,-93.2427
245,68000,0.0
246,68800,-22.4229
246,69600,0.0
247,70400,-19.7365
247,71200,0.0
248,72000,-19.2913
248,72800,0.0
249,73600,-20.5778
249,74400,0.0
250,75200,-19.4425
250,76000,0.0
253,76800,-77.8636
253,77600,0.0
254,78400,-20.6269
254,79200,0.0
255,80000,-15.7689
255,80800,0.0
256,81600,-21.9384
257,82400,-20.2082
259,83200,-93.3261
259,84000,0.0
260,84800,-15.6505
261,85600,-18.8972
261,86400,0.0
262,87200,-19.1045
262,88000,0.0
263,88800,-19.603
265,89600,-92.5327
265,90400,0.0
266,91200,-20.136
267,92000,-21.5013
267,92800,0.0
268,93600,-16.766
268,94400,0.0
269,95200,-16.3671
269,96000,0.0
272,96800,-77.2438
272,97600,0.0
273,98400,-26.6589
273,99200,0.0
276,100000,-75.5539
276,100800,0.0
