episode,timestep,reward
4,800,-131.2634
11,1600,-127.0852
18,2400,-122.7395
27,3200,-118.8176
29,4000,-154.3641
37,4800,-129.0149
46,5600,-119.0465
54,6400,-122.9882
60,7200,-131.5303
65,8000,-133.8999
69,8800,-133.8827
76,9600,-129.6418
82,10400,-128.7568
91,11200,-118.1173
103,12000,-120.319
109,12800,-127.6644
115,13600,-131.1711
121,14400,-131.0956
127,15200,-125.6683
132,16000,-134.4185
137,16800,-132.2873
142,17600,-135.2923
151,18400,-124.0409
157,19200,-134.2473
166,20000,-118.9657
173,20800,-125.7992
181,21600,-124.4491
192,22400,-120.8805
199,23200,-125.0138
208,24000,-122.6195
213,24800,-127.722
220,25600,-131.1697
226,26400,-125.5721
234,27200,-122.7373
240,28000,-129.0402
247,28800,-124.6305
253,29600,-132.5133
260,30400,-125.0312
266,31200,-127.7279
273,32000,-127.5679
281,32800,-124.2743
289,33600,-122.1888
297,34400,-124.7932
305,35200,-125.319
311,36000,-131.3359
321,36800,-120.5874
331,37600,-117.8337
337,38400,-122.2907
343,39200,-132.102
352,40000,-120.415
357,40800,-133.8729
370,41600,-115.7907
379,42400,-120.5125
387,43200,-123.9734
393,44000,-129.7202
401,44800,-121.0831
411,45600,-119.3034
419,46400,-126.5371
426,47200,-125.6598
433,48000,-131.7969
439,48800,-124.464
453,49600,-113.6522
459,50400,-130.2972
466,51200,-124.9632
473,52000,-125.3119
480,52800,-123.8494
492,53600,-116.9307
501,54400,-120.6383
509,55200,-118.7536
515,56000,-131.6915
523,56800,-123.8189
529,57600,-128.0266
538,58400,-115.0493
546,59200,-126.1763
554,60000,-122.5821
560,60800,-128.9117
570,61600,-115.0558
581,62400,-116.511
588,63200,-123.9349
594,64000,-127.9455
605,64800,-120.9539
615,65600,-114.506
622,66400,-121.1661
629,67200,-126.553
638,68000,-120.8156
650,68800,-118.0856
659,69600,-121.0482
665,70400,-130.8204
672,71200,-125.2691
678,72000,-123.9993
686,72800,-119.4273
697,73600,-120.1185
702,74400,-133.7893
708,75200,-131.9798
715,76000,-128.6357
721,76800,-126.1965
734,77600,-112.685
743,78400,-119.4921
750,79200,-125.3173
758,80000,-124.229
764,80800,-128.8277
777,81600,-116.4255
785,82400,-116.5756
793,83200,-126.4032
797,84000,-143.114
808,84800,-117.6412
821,85600,-112.582
831,86400,-118.7357
838,87200,-124.838
846,88000,-122.1193
857,88800,-118.4947
866,89600,-115.1796
873,90400,-130.6589
883,91200,-121.6613
895,92000,-116.1953
908,92800,-115.664
917,93600,-120.0109
928,94400,-115.6274
941,95200,-114.8367
951,96000,-120.5917
956,96800,-132.9219
966,97600,-118.0207
977,98400,-113.4431
989,99200,-115.9422
995,100000,-124.471
