episode,timestep,reward
0,800,0.0
1,1600,-4898.6418
2,2400,-4873.9444
3,3200,-4876.2845
3,4000,0.0
4,4800,-4886.1441
5,5600,-4890.6917
6,6400,-4887.091
7,7200,-4894.38
7,8000,0.0
8,8800,-4892.784
9,9600,-4875.8318
10,10400,-4882.4113
11,11200,-4877.7702
11,12000,0.0
12,12800,-4890.8638
13,13600,-4887.2295
14,14400,-4886.5714
15,15200,-4882.8525
15,16000,0.0
16,16800,-4878.7785
17,17600,-4875.9958
18,18400,-4875.8766
19,19200,-4883.2482
19,20000,0.0
20,20800,-4875.9253
21,21600,-4893.1481
22,22400,-4878.1217
23,23200,-4875.5458
23,24000,0.0
24,24800,-4876.3733
25,25600,-4901.269
26,26400,-4906.6199
27,27200,-4893.6041
27,28000,0.0
28,28800,-4897.1579
29,29600,-4889.1786
30,30400,-4885.5995
31,31200,-4912.6596
31,32000,0.0
32,32800,-4892.6473
33,33600,-4883.7192
34,34400,-4902.4551
35,35200,-4881.5587
35,36000,0.0
36,36800,-4890.475
37,37600,-4898.1604
38,38400,-4905.1784
39,39200,-4891.0244
39,40000,0.0
40,40800,-4907.7903
41,41600,-4895.6148
42,42400,-4889.9928
43,43200,-4886.1949
43,44000,0.0
44,44800,-4886.236
45,45600,-4881.8841
46,46400,-4889.4761
47,47200,-4887.6991
47,48000,0.0
48,48800,-4883.3762
49,49600,-4877.4989
50,50400,-4875.8075
51,51200,-4880.9818
51,52000,0.0
52,52800,-4887.3075
53,53600,-4885.0408
54,54400,-4872.2837
55,55200,-4866.4659
55,56000,0.0
56,56800,-4862.531
57,57600,-4859.2725
58,58400,-4877.7973
59,59200,-4860.0073
59,60000,0.0
60,60800,-4864.9091
61,61600,-4880.4463
62,62400,-4879.9257
63,63200,-4877.5174
63,64000,0.0
64,64800,-4879.6262
65,65600,-4877.513
66,66400,-4862.285
67,67200,-4868.4211
67,68000,0.0
68,68800,-4865.0547
69,69600,-4862.694
70,70400,-4873.8922
71,71200,-4875.4173
71,72000,0.0
72,72800,-4864.6669
73,73600,-4863.7879
74,74400,-4853.3818
75,75200,-4842.7423
75,76000,0.0
76,76800,-4839.992
77,77600,-4852.0219
78,78400,-4836.1822
79,79200,-4841.3119
79,80000,0.0
80,80800,-4836.5551
81,81600,-4836.4421
82,82400,-4832.8677
83,83200,-4846.8091
83,84000,0.0
84,84800,-4840.6358
85,85600,-4820.2908
86,86400,-4827.3546
87,87200,-4832.9091
87,88000,0.0
88,88800,-4823.0169
89,89600,-4817.4141
90,90400,-4831.2215
91,91200,-4836.6757
91,92000,0.0
92,92800,-4842.9483
93,93600,-4829.2533
94,94400,-4827.421
95,95200,-4833.9114
95,96000,0.0
96,96800,-4834.5912
97,97600,-4830.1861
98,98400,-4834.4174
99,99200,-4833.7639
99,100000,0.0
100,100800,-4817.3616
